seed,fold,feature,model_importance
2,1,TA,0.079426
2,1,card1,0.091190
2,1,card2,0.019776
2,1,card3,0.021210
2,1,card5,0.147368
2,1,PCD,0.018766
2,1,M1,0.472419
2,1,M2,0.351507
2,1,M3,0.419698
2,1,M4,0.014026
2,1,card4,0.074440
2,1,card6,0.236315
2,1,DT,0.024765
2,1,DI,0.020801
2,1,M5,0.611863
2,1,M6,0.536850
2,1,M7,0.167113
2,1,M8,0.201873
2,1,M9,0.260322
2,2,TA,0.085755
2,2,card1,0.094470
2,2,card2,0.006327
2,2,card3,0.020778
2,2,card5,0.140129
2,2,PCD,0.019333
2,2,M1,0.512919
2,2,M2,0.367303
2,2,M3,0.378774
2,2,M4,0.015140
2,2,card4,0.068300
2,2,card6,0.246055
2,2,DT,0.022390
2,2,DI,0.019418
2,2,M5,0.576808
2,2,M6,0.538724
2,2,M7,0.215762
2,2,M8,0.229330
2,2,M9,0.187471
2,3,TA,0.077468
2,3,card1,0.089536
2,3,card2,0.029032
2,3,card3,0.021627
2,3,card5,0.145172
2,3,PCD,0.020146
2,3,M1,0.657128
2,3,M2,0.428385
2,3,M3,0.403978
2,3,M4,0.017755
2,3,card4,0.095326
2,3,card6,0.248975
2,3,DT,0.025859
2,3,DI,0.022241
2,3,M5,0.602697
2,3,M6,0.520146
2,3,M7,0.160480
2,3,M8,0.197758
2,3,M9,0.187040
2,4,TA,0.080254
2,4,card1,0.100590
2,4,card2,0.002066
2,4,card3,0.020944
2,4,card5,0.147214
2,4,PCD,0.018968
2,4,M1,0.611893
2,4,M2,0.384100
2,4,M3,0.314648
2,4,M4,0.014535
2,4,card4,0.101357
2,4,card6,0.260147
2,4,DT,0.025950
2,4,DI,0.022468
2,4,M5,0.591572
2,4,M6,0.506774
2,4,M7,0.151940
2,4,M8,0.196689
2,4,M9,0.286055
2,5,TA,0.082992
2,5,card1,0.086095
2,5,card2,0.000282
2,5,card3,0.021283
2,5,card5,0.132845
2,5,PCD,0.017651
2,5,M1,0.437309
2,5,M2,0.303936
2,5,M3,0.454817
2,5,M4,0.014965
2,5,card4,0.097607
2,5,card6,0.243638
2,5,DT,0.023652
2,5,DI,0.021977
2,5,M5,0.624557
2,5,M6,0.519607
2,5,M7,0.214153
2,5,M8,0.219040
2,5,M9,0.192132
