algorithm,fold,lime_logreg_intersection_count,shap_logreg_intersection_count
DecisionTree,1,5,4
DecisionTree,2,5,5
DecisionTree,3,6,7
DecisionTree,4,6,5
DecisionTree,5,5,6
LinearSVC,1,7,8
LinearSVC,2,7,5
LinearSVC,3,6,7
LinearSVC,4,8,7
LinearSVC,5,8,10
LogisticRegression,1,7,9
LogisticRegression,2,7,8
LogisticRegression,3,6,8
LogisticRegression,4,6,7
LogisticRegression,5,8,8
MLP,1,6,6
MLP,2,6,5
MLP,3,7,6
MLP,4,6,5
MLP,5,5,4
RandomForest,1,7,5
RandomForest,2,6,4
RandomForest,3,7,7
RandomForest,4,7,7
RandomForest,5,8,7
